"id";"card_number";"transaction_date";"value";"segment"
CTID50914653;"5786-9833-8038-2159";2016-10-28;24817;SEG11
CTID96819489;"7224-9964-4793-3939";2016-06-17;47945;SEG17
CTID77194484;"9933-8699-5268-4345";2016-02-10;9557;SEG19
CTID83771213;"3922-3698-6304-1975";2016-01-05;14565;SEG11
CTID27263941;"2388-1652-4326-6035";2016-03-19;13153;SEG19
CTID50346974;"9946-6939-3033-9593";2016-04-13;3597;SEG12
CTID11121666;"5734-5619-8469-4044";2016-10-28;5845;SEG25
CTID66481201;"2517-1247-3682-9050";2016-03-19;23203;SEG19
CTID45266171;"1782-5331-5899-1813";2016-12-14;32420;SEG18
CTID13284924;"5674-3252-5805-3288";2016-01-14;20092;SEG21
CTID41016745;"8638-5407-3631-8196";2016-05-09;20925;SEG11
CTID35797012;"5978-8449-1139-4565";2016-11-02;20483;SEG18
CTID95712188;"2949-1972-1300-6680";2016-06-29;13109;SEG25
CTID72787052;"6479-5593-2105-9060";2016-02-24;9805;SEG25
CTID99345289;"8725-3610-8060-2617";2016-04-02;20770;SEG22
CTID47217075;"4770-7274-9917-1594";2016-09-21;44257;SEG11
CTID94018890;"5978-8449-1139-4565";2016-05-29;1900;SEG11
CTID95486681;"3922-3698-6304-1975";2016-02-21;13125;SEG12
CTID65900329;"3698-9867-4865-5497";2016-01-05;24198;SEG16
CTID58463742;"6415-7043-2998-3377";2016-01-17;5864;SEG24
CTID28791211;"5587-7265-8118-7718";2016-02-07;11920;SEG16
CTID71849994;"7633-7985-2079-2990";2016-07-06;23220;SEG17
CTID34457221;"7583-5046-7750-5578";2016-09-19;28820;SEG16
CTID67407325;"7729-4037-1361-9467";2016-05-07;32584;SEG12
CTID90507329;"9933-8699-5268-4345";2016-01-27;3874;SEG24
CTID32642104;"5616-5526-4836-1962";2016-11-21;6803;SEG15
CTID58755550;"6514-4444-5642-2615";2016-10-11;15824;SEG16
CTID76274185;"5590-1294-8800-2874";2016-10-28;9223;SEG23
CTID27726301;"4375-1627-3683-5900";2016-03-13;16599;SEG17
CTID87810668;"3439-5404-2739-7517";2016-03-16;16320;SEG25
CTID78783895;"7863-1291-5335-8126";2016-09-26;22281;SEG17
CTID74956998;"3414-4178-9784-9954";2016-01-26;19173;SEG12
CTID47671275;"5316-4617-7300-3260";2016-09-12;46290;SEG16
CTID13849373;"7908-3850-6633-2606";2016-04-17;48948;SEG12
CTID61405821;"7966-2894-6066-2530";2016-10-06;2199;SEG23
CTID27439261;"5583-9751-6086-5673";2016-01-09;3656;SEG24
CTID54934772;"5984-2442-3351-3695";2016-10-22;49645;SEG22
CTID26604124;"2524-4184-5908-6750";2016-01-05;49928;SEG15
CTID29444449;"6620-4005-4574-6263";2016-05-12;19131;SEG22
CTID79461899;"9604-6821-2861-8084";2016-11-06;23109;SEG16
CTID15835900;"6071-3874-2856-8755";2016-05-30;16955;SEG22
CTID48198595;"6001-5945-4665-4926";2016-06-30;2643;SEG16
CTID30133008;"8509-8871-7296-2015";2016-12-17;24834;SEG25
CTID69981122;"7306-7457-8875-3211";2016-03-05;46374;SEG24
CTID27378742;"7725-3576-5626-3317";2016-05-19;30294;SEG25
CTID52182545;"4834-4297-3113-9327";2016-12-23;40832;SEG11
CTID55105900;"8691-3939-1859-5937";2016-11-15;39751;SEG24
CTID68392272;"4139-7870-9436-2923";2016-04-23;44460;SEG20
CTID90058756;"2764-7023-8396-5255";2016-05-01;14317;SEG20
CTID66883538;"4040-7464-4000-3447";2016-12-21;34731;SEG15
CTID92042379;"6148-9835-7115-4405";2016-02-25;46507;SEG23
CTID93179023;"9161-8723-1217-5269";2016-01-27;8831;SEG23
CTID63210795;"7908-2695-7391-7499";2016-08-23;7609;SEG17
CTID80895207;"4587-3535-8224-4301";2016-01-18;15383;SEG20
CTID14000307;"7752-7762-8832-3142";2016-10-08;27656;SEG25
CTID99919065;"8870-2780-7399-5151";2016-06-30;27392;SEG14
CTID15532549;"3914-1379-8974-9157";2016-12-01;12196;SEG23
CTID44094076;"6835-6133-8935-6988";2016-04-02;7892;SEG21
CTID98150151;"4937-6752-6970-3163";2016-05-09;45242;SEG17
CTID98845662;"3697-6001-4909-5350";2016-01-14;18018;SEG11
CTID73102940;"8159-1257-4706-7544";2016-10-15;2808;SEG22
CTID64363841;"4144-3271-6301-9342";2016-05-28;13720;SEG14
CTID58598772;"7726-3678-8092-6414";2016-03-27;27526;SEG21
CTID99493865;"8951-3220-4809-9797";2016-11-11;31374;SEG24
CTID44902769;"7326-9558-4788-5128";2016-10-07;2401;SEG25
CTID33568817;"4646-8260-8197-7078";2016-01-30;15120;SEG16
CTID94413178;"9933-8699-5268-4345";2016-02-15;19064;SEG25
CTID67894992;"4663-3168-7059-6778";2016-12-13;39219;SEG17
CTID58278827;"5864-4475-3659-1440";2016-03-12;7251;SEG16
CTID87787205;"4354-1258-5178-5618";2016-08-05;20945;SEG14
CTID90930974;"9360-2827-9359-7064";2016-01-23;42617;SEG18
CTID56367924;"5993-5660-3442-6277";2016-05-08;25486;SEG25
CTID32699801;"7837-4036-5999-1672";2016-06-16;19278;SEG21
CTID60964959;"1909-6288-2284-5317";2016-08-16;36665;SEG16
CTID32755542;"8486-4186-7122-3452";2016-06-03;873;SEG14
CTID70203016;"8783-7271-8493-7931";2016-09-12;19322;SEG14
CTID68852830;"1616-5911-1676-5466";2016-06-04;25549;SEG13
CTID50167006;"3134-9713-5764-8285";2016-07-17;38381;SEG19
CTID51580177;"9458-1130-5333-6475";2016-06-23;38191;SEG11
CTID70863253;"7908-2695-7391-7499";2016-05-14;31619;SEG23
CTID37572030;"7658-7645-4568-1461";2016-08-09;46018;SEG12
CTID70644003;"9999-3058-2698-4238";2016-01-01;17443;SEG11
CTID74210163;"4040-7464-4000-3447";2016-09-22;25704;SEG15
CTID11215872;"5088-4839-2639-6414";2016-10-26;22451;SEG20
CTID20596527;"7658-7645-4568-1461";2016-06-18;3571;SEG22
CTID29438314;"7586-6475-9618-3909";2016-09-29;6322;SEG13
CTID29657213;"9310-6095-5617-9905";2016-06-15;28576;SEG13
CTID20428882;"1546-9786-8388-4937";2016-06-22;26173;SEG21
CTID90857094;"5262-2954-4306-9001";2016-03-25;15164;SEG16
CTID97461850;"4806-6889-9908-7496";2016-12-30;11318;SEG17
CTID71586482;"8115-7743-6213-9284";2016-01-24;32293;SEG18
CTID45897245;"8135-1903-7706-2260";2016-10-14;30160;SEG15
CTID20005770;"3969-9181-6385-4422";2016-09-27;7854;SEG12
CTID84000703;"4991-3814-8016-9048";2016-09-06;28896;SEG25
CTID82512584;"8638-5407-3631-8196";2016-08-31;36556;SEG11
CTID42354792;"9376-8684-9599-2988";2016-03-20;7149;SEG16
CTID52288894;"6075-5795-3555-1281";2016-01-25;43095;SEG24
CTID84551276;"1113-9175-3253-8426";2016-03-10;48413;SEG22
CTID58443100;"3458-8126-3660-8686";2016-11-18;19216;SEG15
CTID94794403;"8883-9569-6241-3952";2016-01-20;39574;SEG18
CTID35332693;"5747-7372-2770-2325";2016-06-02;38440;SEG12
CTID48883086;"4770-7274-9917-1594";2016-02-22;15588;SEG11
CTID56281407;"8558-3872-8287-1977";2016-05-25;35227;SEG23
CTID29680323;"3697-6001-4909-5350";2016-10-12;48287;SEG25
CTID48614531;"6239-8641-8524-9441";2016-03-14;38432;SEG16
CTID12739171;"5864-4475-3659-1440";2016-01-30;42745;SEG24
CTID41760879;"6994-7925-9044-3458";2016-11-24;25277;SEG25
CTID72617788;"8706-3809-5167-3899";2016-04-15;38429;SEG18
CTID22135564;"1782-5331-5899-1813";2016-08-03;43772;SEG23
CTID20769561;"1782-5331-5899-1813";2016-01-16;30690;SEG22
CTID46817324;"9074-3311-4009-9836";2016-03-24;9478;SEG25
CTID89429217;"7837-4036-5999-1672";2016-04-06;43004;SEG11
CTID71460557;"5145-7864-6575-8768";2016-07-29;6064;SEG12
CTID41108175;"8507-1459-7315-8148";2016-11-18;21095;SEG13
CTID33251748;"4803-9564-9708-3189";2016-01-10;12722;SEG21
CTID80961464;"8836-7078-5752-6312";2016-05-11;40780;SEG12
CTID53243436;"4334-6855-2003-9239";2016-02-21;45069;SEG18
CTID71174089;"7725-3576-5626-3317";2016-05-19;42347;SEG12
CTID18699322;"8883-9569-6241-3952";2016-05-02;49475;SEG25
CTID14366678;"7334-1842-5941-2149";2016-08-07;26405;SEG11
CTID39191491;"4046-1968-8375-3680";2016-01-27;15916;SEG25
CTID26941440;"9322-7578-8781-2684";2016-06-21;18452;SEG23
CTID17639427;"1817-8543-9660-4802";2016-02-29;7608;SEG21
CTID23277552;"6697-9358-9213-4896";2016-07-07;740;SEG18
CTID56294204;"2854-6117-5924-2770";2016-11-25;9014;SEG18
CTID72837751;"8518-4517-6409-6976";2016-08-15;43707;SEG22
CTID81044100;"8486-4186-7122-3452";2016-11-08;22270;SEG24
CTID29325148;"5262-2954-4306-9001";2016-01-30;36658;SEG23
CTID94670653;"6815-5139-5546-1802";2016-10-16;31797;SEG24
CTID92332111;"3698-9867-4865-5497";2016-10-14;28781;SEG14
CTID63815219;"4646-8260-8197-7078";2016-01-30;17596;SEG17
CTID61855317;"4203-2936-4855-8802";2016-06-30;47835;SEG18
CTID13684212;"5591-5619-8809-5454";2016-01-02;29849;SEG23
CTID47578589;"4973-1293-1664-2086";2016-05-08;49296;SEG14
CTID20456246;"5591-5619-8809-5454";2016-11-24;13032;SEG11
CTID80837016;"5811-4353-3490-5513";2016-11-04;29158;SEG11
CTID49737727;"8769-1185-5731-6569";2016-06-09;43755;SEG15
CTID51623898;"3544-7836-9589-7635";2016-06-07;16415;SEG22
CTID86777881;"4971-8219-1133-6753";2016-04-09;18245;SEG19
CTID72378439;"7767-7920-7733-4210";2016-10-22;46767;SEG16
CTID56229264;"9369-6196-2597-1730";2016-07-04;16256;SEG13
CTID27077160;"6893-1438-6516-3207";2016-09-14;39097;SEG22
CTID56788272;"7430-6895-6227-4665";2016-08-24;32776;SEG12
CTID18705387;"7752-7762-8832-3142";2016-10-06;6318;SEG12
CTID47792818;"1693-2036-4352-9386";2016-12-01;11155;SEG12
CTID51436971;"7908-3850-6633-2606";2016-10-01;49501;SEG16
CTID30562091;"5094-8484-5014-6152";2016-09-22;48958;SEG23
CTID31640264;"1175-3754-1370-5515";2016-10-25;39611;SEG19
CTID61113981;"1113-9175-3253-8426";2016-07-24;35746;SEG17
CTID57409190;"5574-7647-1844-5316";2016-11-12;18118;SEG14
CTID86684785;"9933-8699-5268-4345";2016-02-29;48965;SEG14
CTID99723774;"9304-8255-4381-2028";2016-10-15;45661;SEG21
CTID33580367;"4991-3814-8016-9048";2016-06-12;46121;SEG21
CTID20830257;"8214-9590-3044-1216";2016-05-01;42005;SEG11
CTID50081384;"9304-8255-4381-2028";2016-03-06;45870;SEG11
CTID89514145;"7168-9862-2659-8550";2016-12-15;21184;SEG14
CTID85016805;"2649-6876-7496-4123";2016-06-28;36409;SEG19
CTID90116536;"4663-3168-7059-6778";2016-08-29;13044;SEG25
CTID33763656;"7164-1323-2737-4112";2016-03-22;42043;SEG17
CTID28920562;"3007-2083-4197-9770";2016-12-08;28535;SEG19
CTID21679525;"4959-5036-1379-1303";2016-07-12;13822;SEG11
CTID34399107;"1655-7617-4318-5963";2016-05-26;38647;SEG18
CTID70535534;"5993-5660-3442-6277";2016-12-10;2185;SEG13
CTID79727285;"5145-7864-6575-8768";2016-03-07;35670;SEG18
CTID34121687;"3914-1379-8974-9157";2016-10-21;39499;SEG16
CTID21903775;"5018-8635-8433-6614";2016-08-21;47704;SEG14
CTID33400033;"9027-9319-4091-7718";2016-10-07;43424;SEG22
CTID64444473;"9843-6858-7863-1891";2016-12-30;12779;SEG13
CTID27248366;"5002-6349-2806-2942";2016-01-17;42566;SEG23
CTID31224250;"6015-9255-9994-6771";2016-11-19;21488;SEG17
CTID82609007;"6574-5513-6101-1905";2016-10-04;48220;SEG11
CTID61242984;"4663-3168-7059-6778";2016-12-02;13500;SEG17
CTID95812443;"8685-1513-4751-8018";2016-11-03;41060;SEG20
CTID24318485;"7815-7711-6866-1320";2016-01-03;43468;SEG25
CTID16985764;"4818-7275-3513-3939";2016-02-15;43691;SEG14
CTID22906905;"7047-9622-9693-9968";2016-12-28;42736;SEG18
CTID40303702;"8614-1547-9524-8444";2016-08-18;34601;SEG18
CTID60493102;"5262-2954-4306-9001";2016-03-12;49021;SEG11
CTID69910387;"4037-7862-8119-1361";2016-03-06;14520;SEG23
CTID21158651;"6876-7378-4945-3251";2016-07-08;38773;SEG13
CTID53159348;"5384-8278-5616-5502";2016-10-22;5926;SEG16
CTID26028704;"8259-5688-7450-9931";2016-05-13;2757;SEG13
CTID34450112;"8673-7935-5776-9119";2016-04-01;32219;SEG13
CTID62062632;"7224-9964-4793-3939";2016-04-10;42262;SEG24
CTID28195227;"8231-5519-1948-3400";2016-03-10;16857;SEG17
CTID58822426;"2158-2612-7934-6228";2016-08-15;8605;SEG16
CTID69150071;"8794-7936-2566-9238";2016-07-31;25425;SEG24
CTID17731332;"4991-3814-8016-9048";2016-03-05;18926;SEG21
CTID85538458;"9540-8558-5897-5046";2016-05-09;28201;SEG25
CTID71318957;"2570-5181-2062-7588";2016-04-26;15276;SEG21
CTID95833613;"7168-9862-2659-8550";2016-01-02;7959;SEG21
CTID31855061;"5674-3252-5805-3288";2016-10-27;3016;SEG14
CTID78154814;"7815-7711-6866-1320";2016-10-13;23470;SEG17
CTID49357458;"8052-5734-6162-9591";2016-09-17;45362;SEG15
CTID26454462;"3698-9867-4865-5497";2016-06-18;45451;SEG11
CTID40433069;"7377-5503-9688-7953";2016-07-30;46758;SEG19
CTID12659189;"2077-2389-7798-4862";2016-10-03;20517;SEG20
CTID56019685;"5811-4353-3490-5513";2016-05-03;30104;SEG17
CTID39439990;"7815-2405-2962-6053";2016-12-31;28638;SEG24
CTID46276660;"6292-8171-2649-5336";2016-11-08;16995;SEG22
CTID60489413;"8361-7488-5303-1801";2016-02-15;18620;SEG14
CTID29776340;"4954-2506-4917-1734";2016-10-04;48268;SEG23
CTID83096976;"5591-5619-8809-5454";2016-11-17;39974;SEG18
CTID96831513;"4783-2852-8264-4966";2016-08-27;32026;SEG11
CTID86676310;"6244-6800-1680-7174";2016-09-24;12060;SEG22
CTID50820478;"2535-9251-5633-3656";2016-09-29;37288;SEG18
CTID17412921;"2116-6906-9722-9824";2016-05-20;1865;SEG17
CTID51070849;"9018-5320-5729-5393";2016-09-27;48225;SEG18
CTID77662490;"3467-3224-2464-5799";2016-04-14;13221;SEG21
CTID44912687;"1782-8675-4061-3666";2016-06-12;47336;SEG17
CTID23902431;"4314-6417-5269-5130";2016-01-09;8600;SEG15
CTID50620697;"1235-8656-9164-2644";2016-10-08;23063;SEG22
CTID57431051;"8769-1185-5731-6569";2016-02-03;17008;SEG16
CTID49418982;"9360-2827-9359-7064";2016-01-31;15610;SEG22
CTID46413924;"4491-2026-2441-2049";2016-12-20;27464;SEG25
CTID65291817;"5695-2379-4433-2485";2016-07-12;34440;SEG15
CTID70709200;"8052-5734-6162-9591";2016-12-13;22539;SEG14
CTID55241821;"8951-3220-4809-9797";2016-09-30;15590;SEG13
CTID39597073;"3323-8332-7133-7008";2016-09-02;45524;SEG15
CTID16616538;"9621-6787-7890-7470";2016-11-12;47087;SEG19
CTID66700173;"5254-4916-6547-4795";2016-12-25;47518;SEG16
CTID79779734;"4341-6411-1439-6094";2016-08-02;11396;SEG25
CTID67005135;"8477-4051-5606-6540";2016-03-19;13143;SEG16
CTID24212273;"1817-8543-9660-4802";2016-10-30;35786;SEG17
CTID15117728;"9207-1270-6690-4905";2016-03-02;3149;SEG15
CTID52429098;"8002-6041-9878-5658";2016-01-26;12958;SEG20
CTID52423105;"3458-8126-3660-8686";2016-10-25;17707;SEG13
CTID90835553;"8272-7202-4112-6502";2016-06-22;6671;SEG17
CTID57796271;"9248-9032-8076-1225";2016-08-22;49939;SEG15
CTID65092749;"7334-1842-5941-2149";2016-05-07;7826;SEG14
CTID95443573;"8069-5321-4131-7493";2016-04-26;22666;SEG21
CTID34968253;"7662-3108-4951-8587";2016-06-07;4460;SEG18
CTID85445106;"4971-8219-1133-6753";2016-04-26;15828;SEG11
CTID46478972;"9083-6711-4313-1181";2016-05-04;31001;SEG15
CTID65184961;"2422-2354-4628-4556";2016-10-01;20566;SEG24
CTID98986260;"3467-4873-4196-4795";2016-12-09;30928;SEG24
CTID69557100;"5540-8588-7666-7798";2016-06-04;7365;SEG21
CTID61867254;"4139-7870-9436-2923";2016-09-06;37553;SEG15
CTID31057711;"9930-4634-8565-6716";2016-09-10;37964;SEG11
CTID63727493;"1947-8602-1695-7503";2016-12-25;43455;SEG18
CTID39795703;"4349-5976-1214-5524";2016-10-03;30903;SEG24
CTID50516549;"5274-7205-2377-3357";2016-08-19;39960;SEG24
CTID18067135;"6531-1690-4324-2760";2016-04-25;22957;SEG17
CTID45834457;"4954-2506-4917-1734";2016-04-09;26017;SEG19
CTID42582298;"5145-7864-6575-8768";2016-07-24;34619;SEG11
CTID13079106;"2868-5606-5152-5706";2016-06-17;22753;SEG16
CTID72456360;"5380-2273-3524-9795";2016-10-22;10375;SEG19
CTID96760782;"1825-7669-6621-9045";2016-12-12;14443;SEG15
CTID38341385;"1175-3754-1370-5515";2016-04-21;36662;SEG11
CTID62795829;"9027-9319-4091-7718";2016-07-15;26811;SEG16
CTID29687222;"4954-2506-4917-1734";2016-12-09;22176;SEG24
CTID39504267;"7447-6644-5678-8061";2016-01-09;29399;SEG20
CTID94546571;"3440-1978-8156-5313";2016-05-19;38985;SEG24
CTID19761392;"9458-1130-5333-6475";2016-03-02;7091;SEG16
CTID17654921;"1519-5130-5810-8539";2016-10-23;38441;SEG13
CTID22236589;"2349-2290-6329-3624";2016-04-11;22431;SEG14
CTID59575574;"1464-1118-5953-6424";2016-10-09;6455;SEG19
CTID28453221;"8486-4186-7122-3452";2016-04-13;43104;SEG20
CTID44259748;"8904-2491-3727-6958";2016-07-24;37311;SEG21
CTID94881241;"2568-8047-9427-1704";2016-11-09;16271;SEG21
CTID32018061;"6620-4005-4574-6263";2016-08-11;48311;SEG19
CTID15383468;"4864-7119-5608-7611";2016-01-28;8887;SEG15
CTID24256716;"4139-7870-9436-2923";2016-12-05;28863;SEG21
CTID52654158;"7447-6644-5678-8061";2016-11-26;33959;SEG14
CTID37328961;"2347-2804-9899-1830";2016-11-10;25145;SEG23
CTID37638502;"7662-3108-4951-8587";2016-09-17;15841;SEG21
CTID55669692;"9558-5469-2562-5608";2016-01-17;20538;SEG12
CTID39745265;"4864-7119-5608-7611";2016-03-20;9333;SEG18
CTID87799853;"4375-1627-3683-5900";2016-01-07;31108;SEG16
CTID20536518;"9933-8699-5268-4345";2016-11-16;117;SEG23
CTID29482083;"3748-8048-5227-8162";2016-10-10;47405;SEG21
CTID89809998;"6001-5945-4665-4926";2016-11-05;34321;SEG25
CTID16859793;"8228-6661-8736-2838";2016-05-25;9142;SEG23
CTID24101345;"3001-2844-6540-3608";2016-01-14;41408;SEG11
CTID72454421;"2495-1344-4998-6045";2016-12-26;3838;SEG23
CTID16408703;"8272-7202-4112-6502";2016-02-16;24440;SEG11
CTID29273056;"4663-3168-7059-6778";2016-07-17;5501;SEG12
CTID42073504;"2595-7800-1142-5225";2016-05-24;4567;SEG19
CTID65721005;"6012-7799-2842-7221";2016-05-10;35528;SEG13
CTID87593645;"6012-7799-2842-7221";2016-06-05;21738;SEG21
CTID76085476;"2517-1247-3682-9050";2016-01-12;12929;SEG16
CTID62534914;"2342-6589-6557-6739";2016-04-28;39429;SEG23
CTID88391556;"5530-2431-5627-8837";2016-03-05;14540;SEG15
CTID39984126;"1259-5241-3561-1773";2016-01-25;9040;SEG15
CTID91537140;"6691-5105-1556-4131";2016-06-10;49469;SEG21
CTID19240358;"8509-8871-7296-2015";2016-05-30;33196;SEG21
CTID78216660;"1782-8675-4061-3666";2016-08-31;6753;SEG18
CTID98409859;"8507-1459-7315-8148";2016-12-14;31440;SEG19
CTID11256928;"5936-1967-4966-6077";2016-03-30;49940;SEG15
CTID44374748;"6272-7021-2748-1471";2016-08-12;10143;SEG20
CTID24354134;"8976-7958-2694-8171";2016-05-25;44013;SEG25
CTID43685296;"3313-4024-5109-8235";2016-11-17;33842;SEG22
CTID83318321;"3440-1978-8156-5313";2016-07-25;18936;SEG13
CTID74367746;"8950-6403-2080-8100";2016-05-25;18794;SEG22
CTID72529356;"3467-4873-4196-4795";2016-06-19;28761;SEG12
CTID17488846;"6575-1457-7757-9141";2016-07-18;37899;SEG23
CTID64723075;"2088-6665-3327-6898";2016-07-30;36293;SEG18
CTID57952427;"5144-5591-4640-2208";2016-01-19;8813;SEG18
CTID40142710;"8031-9022-9952-9605";2016-03-14;41675;SEG23
CTID86726402;"2595-8621-2855-9119";2016-07-28;8154;SEG14
CTID86519520;"1336-9200-1264-2551";2016-04-23;9641;SEG12
CTID15673102;"7966-2894-6066-2530";2016-10-19;48854;SEG14
CTID63259772;"3168-6552-9936-1500";2016-08-09;38053;SEG20
CTID82095301;"7299-3529-7767-1695";2016-12-04;4264;SEG20
CTID31678952;"4294-8894-4829-7801";2016-01-11;35240;SEG17
CTID50535201;"3114-9778-2542-3154";2016-10-05;25630;SEG22
CTID12197048;"6262-7793-5307-8561";2016-04-21;26225;SEG14
CTID64188752;"4991-3814-8016-9048";2016-11-14;9401;SEG13
CTID63987218;"9446-5484-2517-1811";2016-10-19;48625;SEG11
CTID60235043;"6620-4005-4574-6263";2016-07-05;12935;SEG15
CTID12413102;"8069-5321-4131-7493";2016-02-02;2576;SEG16
CTID80466403;"6258-3903-6637-5620";2016-11-20;20063;SEG19
CTID99607847;"9991-4727-7710-2269";2016-06-03;27779;SEG21
CTID40610190;"5094-8484-5014-6152";2016-03-10;37396;SEG25
CTID29357317;"2388-1652-4326-6035";2016-09-20;16058;SEG22
CTID31641194;"5262-2954-4306-9001";2016-11-15;41403;SEG15
CTID89647424;"5689-2440-9593-1931";2016-02-03;39059;SEG20
CTID86862921;"7299-3529-7767-1695";2016-12-13;17528;SEG17
CTID47705427;"1893-8853-9900-8478";2016-07-13;6824;SEG17
CTID15472567;"9314-8332-5195-8287";2016-07-20;6387;SEG25
CTID13423594;"4864-7119-5608-7611";2016-07-22;13168;SEG18
CTID76043892;"1559-8764-1659-4317";2016-03-24;5847;SEG12
CTID72618497;"7017-9570-4103-5076";2016-04-02;28700;SEG19
CTID69302250;"7900-3001-7632-4005";2016-03-25;9571;SEG16
CTID44984552;"7299-3529-7767-1695";2016-08-23;45488;SEG19
CTID65849696;"8578-3662-1951-5720";2016-05-06;41059;SEG20
CTID78908863;"8078-7413-3861-2246";2016-12-01;314;SEG13
CTID96769127;"7708-8807-7837-8812";2016-02-10;40872;SEG17
CTID48125043;"5010-4875-7956-3628";2016-12-11;40572;SEG22
CTID89693511;"3226-1711-7076-2949";2016-02-24;46243;SEG13
CTID16810805;"6262-7793-5307-8561";2016-10-29;13645;SEG12
CTID35554618;"8228-6661-8736-2838";2016-03-13;19527;SEG23
CTID64071408;"6085-9783-3284-2783";2016-05-04;12130;SEG22
CTID27840733;"2264-2870-6785-2725";2016-12-29;652;SEG21
CTID46087228;"8918-6235-3308-7862";2016-06-24;35111;SEG23
CTID57912145;"6514-4444-5642-2615";2016-07-21;544;SEG19
CTID12589802;"8486-4186-7122-3452";2016-12-06;36669;SEG24
CTID11791763;"1893-8853-9900-8478";2016-11-16;15653;SEG24
CTID77148287;"7725-3576-5626-3317";2016-09-22;41141;SEG12
CTID16047975;"6531-1690-4324-2760";2016-07-29;35872;SEG18
CTID29412014;"8138-6235-7062-6142";2016-03-25;33064;SEG21
CTID26741021;"8287-3054-9804-9342";2016-04-10;29941;SEG21
CTID12104001;"3440-1978-8156-5313";2016-07-08;36415;SEG22
CTID43047444;"5563-4162-6828-9835";2016-05-03;17875;SEG19
CTID24734216;"5786-9833-8038-2159";2016-11-17;31717;SEG25
CTID92736124;"1350-6303-6190-5958";2016-08-17;20465;SEG17
CTID49065729;"7815-5255-1963-9464";2016-12-16;18672;SEG25
CTID82247723;"2495-1344-4998-6045";2016-07-24;3059;SEG15
CTID54446658;"6770-3803-2120-3012";2016-04-29;233;SEG23
CTID87713354;"8691-3939-1859-5937";2016-06-28;29098;SEG19
CTID78220981;"1992-1719-3506-9652";2016-09-06;46083;SEG12
CTID28872295;"8138-6235-7062-6142";2016-03-16;47509;SEG24
CTID74566829;"8217-2336-2393-6960";2016-03-27;17277;SEG18
CTID53796574;"7863-1291-5335-8126";2016-02-15;13970;SEG23
CTID23906859;"6321-2048-7733-8765";2016-01-08;47632;SEG15
CTID15204739;"1123-9777-7335-9167";2016-10-18;6813;SEG11
CTID61097861;"4203-2936-4855-8802";2016-06-07;37458;SEG22
CTID66236525;"9161-8723-1217-5269";2016-12-18;43070;SEG17
CTID60359281;"3168-6552-9936-1500";2016-12-14;29371;SEG20
CTID43729851;"8135-1903-7706-2260";2016-02-12;28215;SEG22
CTID40420162;"5616-5526-4836-1962";2016-12-17;12193;SEG13
CTID17258645;"4220-2591-3295-3300";2016-02-15;41389;SEG12
CTID33383981;"9074-3311-4009-9836";2016-07-11;6530;SEG18
CTID68310805;"4954-2506-4917-1734";2016-05-26;29481;SEG19
CTID93934408;"4092-8604-7363-3393";2016-04-01;15247;SEG11
CTID96263083;"3323-8332-7133-7008";2016-11-02;3563;SEG16
CTID42712905;"3146-4961-6964-4229";2016-11-29;27719;SEG22
CTID38272310;"8078-7413-3861-2246";2016-11-10;5482;SEG21
CTID36413567;"1909-6288-2284-5317";2016-04-13;35891;SEG14
CTID52550635;"5786-2204-6101-1373";2016-10-15;48443;SEG11
CTID98808376;"1652-7516-1273-1992";2016-08-16;14421;SEG22
CTID43828794;"7211-2168-9731-5466";2016-09-11;30048;SEG12
CTID78912466;"5583-9751-6086-5673";2016-11-05;47438;SEG25
CTID65085088;"9304-8255-4381-2028";2016-07-18;29810;SEG11
CTID61257748;"7697-2274-6431-6408";2016-01-07;43766;SEG20
CTID23386326;"5786-9833-8038-2159";2016-11-26;14650;SEG17
CTID63675161;"6385-4594-8055-9081";2016-03-12;13263;SEG20
CTID61517751;"9304-4488-7872-2868";2016-10-23;32119;SEG13
CTID29652745;"8783-7271-8493-7931";2016-02-16;13905;SEG18
CTID43803445;"5591-5619-8809-5454";2016-11-18;17013;SEG11
CTID78596104;"2422-2354-4628-4556";2016-03-06;43333;SEG19
CTID84755602;"7362-1637-8977-1963";2016-01-31;40525;SEG21
CTID62764095;"8477-4051-5606-6540";2016-12-03;9063;SEG20
CTID46936309;"5786-9833-8038-2159";2016-02-16;14711;SEG12
CTID57144754;"2595-8621-2855-9119";2016-10-31;6625;SEG16
CTID68189121;"6515-8771-7352-9788";2016-10-17;44617;SEG14
CTID75809864;"5447-4124-3337-6163";2016-10-19;33082;SEG16
CTID55348027;"7843-4724-2851-6218";2016-08-23;36420;SEG15
CTID88176246;"5591-5619-8809-5454";2016-10-03;9726;SEG19
CTID23691795;"7583-5046-7750-5578";2016-05-07;44753;SEG13
CTID94539620;"8870-2780-7399-5151";2016-10-02;8967;SEG11
CTID42154068;"4262-7103-6508-4214";2016-02-01;37816;SEG13
CTID36467884;"7908-3850-6633-2606";2016-09-24;44268;SEG12
CTID50936581;"9604-6821-2861-8084";2016-12-04;49977;SEG15
CTID25440210;"8069-5321-4131-7493";2016-08-06;2876;SEG15
CTID82319885;"5619-4425-5473-6565";2016-08-03;43937;SEG24
CTID82497421;"1749-4777-2532-7766";2016-01-01;48193;SEG25
CTID33330716;"1629-9566-3285-2123";2016-12-16;25210;SEG24
CTID46282995;"3748-8048-5227-8162";2016-10-06;47716;SEG15
